Championship Type,First Team,Second Team,Match Time,Score
الدوري المصري,المصري,الداخلية,19:00,- - -
الدوري المصري,إنبي,الاتحاد السكندري,21:30,- - -
الدوري الإنجليزي,ليستر سيتي,ليفربول,22:00,- - -
الدوري الإسباني,ريال بيتيس,رايو فاييكانو,22:00,- - -
كأس الكؤوس الإفريقية للأندية لكرة اليد,الزمالك,كيركوس,13:00,48 - 23
كأس الكؤوس الإفريقية للأندية لكرة اليد,سبورتنج,ريد ستار,15:00,33 - 22
كأس الكؤوس الإفريقية للأندية لكرة اليد,وداد السمارة,رجاء أكادير,19:00,- - -
كأس الكؤوس الإفريقية للأندية لكرة اليد,الأهلي,كينشاسا,21:00,- - -
الدوري الإيطالي,سامبدوريا,إمبولي,21:45,- - -
الدوري السعودي,الباطن,الفيحاء,19:00,- - -
الدوري السعودي,الرائد,ضمك,19:00,- - -
الدوري السعودي,الخليج,التعاون,19:00,- - -
الدوري السعودي,الفتح,العدالة,21:30,- - -
الدوري البرتغالي,إستوريل,أروكا,22:15,- - -
